序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄段：,3、当前所处教育阶段:,4、日均数字媒体接触时长,5、主要使用场景,6、当我浏览社交媒体时，我常常将自己生活状态与他人进行比较,7、我认为自己在网络空间中的形象:,8、你是否会在遇到情绪低落时使用数字媒体（如刷视频、聊天、玩游戏等）？,9、数字媒体使用对你情绪状态的影响—使用后感到焦虑减轻,9、浏览内容后感到烦躁,9、线上互动中产生归属感,9、产生时间管理失控感,9、深夜使用时感到孤独感加剧,10、请分享一个你使用手机/网络时发生的，让你对自己有新的认识的真实经历
74,2025/5/4 15:47:18,56秒,微信,,183.250.96.126(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→即时通讯（微信/QQ等）,从不,只展示某些方面的自己,经常,非常符合,一般,完全不符,非常符合,比较符合,(空)
75,2025/5/4 15:49:32,128秒,微信,,183.250.96.126(福建-福州),女,16~18,高中阶段,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,总是,只展示某些方面的自己,有时,一般,比较符合,不太符合,比较符合,比较符合,(空)
76,2025/5/5 1:36:06,17秒,手机提交,直接访问,27.149.127.47(福建-福州),女,16~18,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,很少,只展示某些方面的自己,有时,比较符合,比较符合,比较符合,比较符合,比较符合,(空)
77,2025/5/5 1:36:34,14秒,手机提交,直接访问,27.149.127.47(福建-福州),女,16~18,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,经常,非常符合,非常符合,非常符合,非常符合,非常符合,(空)
78,2025/5/5 1:37:00,16秒,手机提交,直接访问,27.149.127.47(福建-福州),男,16~18,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,从不,稍微修饰过的真实自己,有时,比较符合,比较符合,比较符合,比较符合,比较符合,(空)
79,2025/5/6 5:55:48,27秒,微信,,112.47.208.21(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,有时,稍微修饰过的真实自己,很少,非常符合,一般,不太符合,非常符合,不太符合,(空)
80,2025/5/6 5:56:31,38秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,≤60分钟（1小时以内）,社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,有时,和现实中的我完全相同,很少,不太符合,非常符合,比较符合,不太符合,非常符合,(空)
81,2025/5/6 5:57:26,51秒,微信,,112.47.208.21(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）,经常,稍微修饰过的真实自己,很少,非常符合,不太符合,比较符合,一般,一般,(空)
82,2025/5/6 5:58:10,40秒,微信,,112.47.208.21(福建-泉州),男,16~18,高中阶段,241-360分钟（4-6小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,从不,和现实中的我完全相同,总是,一般,一般,非常符合,非常符合,非常符合,(空)
83,2025/5/6 5:59:02,46秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏,经常,完全不同于现实中的我,很少,一般,比较符合,一般,比较符合,一般,(空)
84,2025/5/6 5:59:30,23秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,经常,一般,非常符合,一般,比较符合,一般,(空)
85,2025/5/6 6:00:21,46秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏,很少,不同平台会用不同形象,经常,一般,不太符合,比较符合,一般,一般,(空)
86,2025/5/6 6:01:26,60秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,经常,只展示某些方面的自己,有时,比较符合,不太符合,比较符合,比较符合,一般,(空)
87,2025/5/6 6:02:41,70秒,微信,,112.47.208.21(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,网络游戏→短视频平台（抖音/快手等）,很少,稍微修饰过的真实自己,经常,比较符合,一般,比较符合,一般,一般,(空)
88,2025/5/6 6:03:25,39秒,微信,,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,很少,一般,不太符合,比较符合,不太符合,一般,(空)
89,2025/5/6 6:05:38,127秒,微信,,112.47.208.21(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,网络游戏→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,经常,稍微修饰过的真实自己,经常,一般,比较符合,不太符合,比较符合,一般,(空)
90,2025/5/6 6:06:57,61秒,手机提交,直接访问,112.47.208.21(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏,很少,完全不同于现实中的我,很少,一般,一般,比较符合,一般,比较符合,(空)
91,2025/5/6 6:07:55,48秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,经常,稍微修饰过的真实自己,有时,一般,比较符合,一般,一般,一般,(空)
92,2025/5/6 6:08:29,25秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）,从不,完全不同于现实中的我,从不,不太符合,不太符合,不太符合,不太符合,不太符合,(空)
93,2025/5/6 6:09:02,28秒,手机提交,直接访问,112.47.208.21(福建-泉州),男,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,完全不同于现实中的我,很少,一般,不太符合,一般,不太符合,一般,(空)
94,2025/5/6 6:09:26,18秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→网络游戏→短视频平台（抖音/快手等）,很少,稍微修饰过的真实自己,有时,一般,比较符合,不太符合,一般,比较符合,(空)
95,2025/5/6 6:11:18,24秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→网络游戏→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,很少,比较符合,一般,比较符合,不太符合,比较符合,(空)
96,2025/5/6 6:11:46,21秒,手机提交,直接访问,112.47.208.21(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→网络游戏→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,有时,比较符合,不太符合,比较符合,不太符合,一般,(空)
97,2025/5/6 6:12:21,30秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,总是,只展示某些方面的自己,很少,非常符合,一般,一般,非常符合,一般,(空)
98,2025/5/6 6:12:52,25秒,手机提交,直接访问,112.47.208.21(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）,从不,只展示某些方面的自己,经常,一般,非常符合,一般,不太符合,非常符合,(空)
99,2025/5/6 8:00:35,23秒,微信,,183.251.20.13(福建-厦门),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,总是,和现实中的我完全相同,总是,非常符合,非常符合,非常符合,非常符合,非常符合,无
100,2025/5/6 11:17:21,56秒,微信,,223.104.54.181(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,有时,一般,一般,一般,一般,一般,(空)
101,2025/5/6 11:37:36,79秒,微信,,220.249.183.157(福建-福州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,不太符合,不太符合,(空)
102,2025/5/6 11:42:23,59秒,微信,,223.104.54.11(福建-福州),男,16~18,高中阶段,≥361分钟（6小时以上）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→网络游戏→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,经常,和现实中的我完全相同,有时,一般,一般,一般,一般,一般,(空)
103,2025/5/6 11:46:22,23秒,微信,,223.160.221.123(福建-福州),女,16~18,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,短视频平台（抖音/快手等）,很少,完全不同于现实中的我,很少,不太符合,不太符合,一般,一般,不太符合,你猜
104,2025/5/6 11:48:41,70秒,微信,,117.61.114.161(广东-东莞),女,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,完全不同于现实中的我,总是,比较符合,完全不符,完全不符,一般,完全不符,(空)
105,2025/5/6 12:06:07,64秒,微信,,223.160.222.156(福建-福州),女,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）,从不,和现实中的我完全相同,很少,完全不符,完全不符,完全不符,完全不符,完全不符,(空)
106,2025/5/6 12:10:27,35秒,微信,,39.144.251.77(福建-厦门),女,16~18,高中阶段,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→网络游戏→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）→知识获取（作业帮/猿辅导等）,有时,只展示某些方面的自己,总是,一般,一般,一般,一般,一般,(空)
107,2025/5/6 12:16:56,104秒,微信,,39.144.252.235(福建-泉州),女,16~18,高中阶段,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,总是,一般,一般,一般,一般,一般,卖东西
108,2025/5/6 12:31:19,99秒,微信,,220.249.172.27(福建-福州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→网络游戏→知识获取（作业帮/猿辅导等）→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,比较符合,一般,一般,比较符合,一般,无
109,2025/5/9 7:41:14,36秒,微信,,39.144.252.79(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,比较符合,一般,比较符合,非常符合,一般,(空)
110,2025/5/9 7:41:49,30秒,微信,,39.144.252.79(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,完全不同于现实中的我,很少,不太符合,比较符合,非常符合,一般,比较符合,(空)
111,2025/5/9 7:42:21,27秒,微信,,39.144.252.79(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,从不,不同平台会用不同形象,很少,不太符合,非常符合,一般,比较符合,一般,(空)
112,2025/5/9 16:58:13,66秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,从不,稍微修饰过的真实自己,有时,一般,非常符合,一般,不太符合,一般,(空)
113,2025/5/10 0:04:03,19秒,微信,,27.148.29.33(福建-福州),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,完全不同于现实中的我,经常,非常符合,非常符合,非常符合,非常符合,非常符合,(空)
114,2025/5/10 0:04:46,21秒,微信,,27.148.29.33(福建-福州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,有时,完全不同于现实中的我,经常,比较符合,比较符合,比较符合,比较符合,比较符合,(空)
115,2025/5/10 0:05:06,16秒,微信,,27.148.29.33(福建-福州),女,19~21,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏,很少,只展示某些方面的自己,有时,非常符合,非常符合,非常符合,非常符合,非常符合,(空)
116,2025/5/10 0:05:26,15秒,微信,,27.148.29.33(福建-福州),男,19~21,高等教育阶段（大学-博士后）,≥361分钟（6小时以上）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）,很少,完全不同于现实中的我,经常,非常符合,非常符合,非常符合,非常符合,非常符合,(空)
117,2025/5/10 0:05:43,13秒,微信,,27.148.29.33(福建-福州),女,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）,很少,完全不同于现实中的我,经常,非常符合,非常符合,非常符合,非常符合,非常符合,(空)
118,2025/5/12 3:39:22,31秒,微信,,112.47.208.120(福建-泉州),男,22岁及以上,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）,有时,只展示某些方面的自己,有时,一般,一般,一般,一般,一般,无
119,2025/5/12 3:41:22,21秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→网络游戏,从不,稍微修饰过的真实自己,经常,不太符合,非常符合,不太符合,一般,一般,(空)
120,2025/5/12 3:41:47,21秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,很少,完全不同于现实中的我,经常,不太符合,非常符合,一般,非常符合,一般,(空)
121,2025/5/12 3:42:19,27秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,从不,不同平台会用不同形象,从不,一般,一般,不太符合,不太符合,一般,(空)
122,2025/5/12 3:42:47,23秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,有时,稍微修饰过的真实自己,经常,一般,非常符合,一般,一般,一般,(空)
123,2025/5/12 3:43:10,19秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,很少,只展示某些方面的自己,经常,一般,比较符合,一般,比较符合,一般,(空)
124,2025/5/12 3:43:33,19秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→即时通讯（微信/QQ等）,很少,稍微修饰过的真实自己,很少,一般,非常符合,一般,比较符合,一般,(空)
125,2025/5/12 3:43:59,23秒,微信,,112.47.208.120(福建-泉州),男,16~18,高等教育阶段（大学-博士后）,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→网络游戏,很少,稍微修饰过的真实自己,经常,一般,比较符合,不太符合,比较符合,一般,(空)
126,2025/5/12 3:44:42,40秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）,从不,不同平台会用不同形象,有时,比较符合,不太符合,比较符合,一般,一般,(空)
127,2025/5/12 3:45:09,23秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）,从不,稍微修饰过的真实自己,很少,不太符合,非常符合,一般,比较符合,一般,(空)
128,2025/5/12 3:45:35,22秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,网络游戏→影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,很少,稍微修饰过的真实自己,经常,非常符合,不太符合,一般,比较符合,一般,(空)
129,2025/5/12 3:46:08,29秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）,经常,只展示某些方面的自己,经常,不太符合,非常符合,一般,比较符合,不太符合,(空)
130,2025/5/12 3:46:33,20秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,经常,比较符合,不太符合,比较符合,一般,一般,(空)
131,2025/5/12 3:47:07,29秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）,从不,不同平台会用不同形象,有时,不太符合,比较符合,一般,一般,不太符合,(空)
132,2025/5/12 3:47:32,22秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,经常,一般,比较符合,一般,不太符合,一般,(空)
133,2025/5/12 3:48:05,29秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→网络游戏,很少,稍微修饰过的真实自己,很少,不太符合,比较符合,一般,一般,一般,(空)
134,2025/5/12 3:48:28,19秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→网络游戏→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,稍微修饰过的真实自己,经常,不太符合,比较符合,不太符合,比较符合,一般,(空)
135,2025/5/12 3:49:22,49秒,微信,,112.47.208.120(福建-泉州),女,19~21,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,很少,只展示某些方面的自己,经常,一般,比较符合,一般,比较符合,一般,(空)
136,2025/5/12 3:49:58,31秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）,经常,稍微修饰过的真实自己,经常,不太符合,比较符合,不太符合,一般,一般,(空)
137,2025/5/12 3:50:27,25秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,≤60分钟（1小时以内）,即时通讯（微信/QQ等）→网络游戏→短视频平台（抖音/快手等）,很少,稍微修饰过的真实自己,很少,不太符合,比较符合,一般,比较符合,一般,(空)
138,2025/5/12 3:51:14,42秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,从不,稍微修饰过的真实自己,有时,不太符合,非常符合,比较符合,一般,一般,(空)
139,2025/5/12 3:51:40,23秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,社交媒体（微博/小红书等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,很少,稍微修饰过的真实自己,很少,比较符合,不太符合,比较符合,一般,一般,(空)
140,2025/5/12 3:52:03,19秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,网络游戏→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,很少,稍微修饰过的真实自己,经常,一般,非常符合,一般,一般,一般,(空)
141,2025/5/12 3:52:29,23秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→社交媒体（微博/小红书等）,经常,稍微修饰过的真实自己,经常,非常符合,一般,一般,不太符合,一般,(空)
142,2025/5/12 3:52:57,24秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→网络游戏→短视频平台（抖音/快手等）,很少,不同平台会用不同形象,有时,非常符合,一般,比较符合,一般,一般,(空)
143,2025/5/12 3:53:25,23秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,很少,稍微修饰过的真实自己,很少,比较符合,不太符合,一般,比较符合,一般,(空)
144,2025/5/12 3:53:49,19秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→网络游戏→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）,有时,稍微修饰过的真实自己,从不,不太符合,比较符合,不太符合,一般,一般,(空)
145,2025/5/12 3:54:25,32秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→网络游戏,从不,和现实中的我完全相同,很少,非常符合,一般,一般,不太符合,一般,(空)
146,2025/5/12 3:54:46,17秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,不同平台会用不同形象,从不,非常符合,不太符合,一般,比较符合,一般,(空)
147,2025/5/12 3:55:08,18秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）,很少,完全不同于现实中的我,经常,比较符合,不太符合,一般,比较符合,一般,(空)
148,2025/5/12 3:55:35,24秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→网络游戏→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,有时,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,比较符合,(空)
149,2025/5/12 3:56:05,26秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,很少,完全不同于现实中的我,从不,非常符合,不太符合,不太符合,比较符合,一般,(空)
150,2025/5/12 4:00:40,18秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,经常,稍微修饰过的真实自己,有时,非常符合,不太符合,一般,比较符合,一般,(空)
151,2025/5/12 4:01:02,17秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→影视娱乐（B站/腾讯视频等）,很少,只展示某些方面的自己,经常,不太符合,比较符合,不太符合,一般,一般,(空)
152,2025/5/12 4:01:34,29秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,很少,完全不同于现实中的我,经常,比较符合,不太符合,比较符合,一般,一般,(空)
153,2025/5/12 4:02:17,39秒,微信,,112.47.208.120(福建-泉州),女,19~21,高等教育阶段（大学-博士后）,121-240分钟（3-4小时）,影视娱乐（B站/腾讯视频等）→即时通讯（微信/QQ等）→社交媒体（微博/小红书等）,很少,不同平台会用不同形象,从不,非常符合,不太符合,一般,比较符合,一般,(空)
154,2025/5/12 4:03:19,57秒,微信,,112.47.208.120(福建-泉州),男,16~18,高中阶段,121-240分钟（3-4小时）,网络游戏→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）,总是,只展示某些方面的自己,很少,比较符合,不太符合,一般,比较符合,一般,(空)
155,2025/5/12 4:03:59,36秒,微信,,112.47.208.120(福建-泉州),女,16~18,高中阶段,61-120分钟（1-2小时）,即时通讯（微信/QQ等）→社交媒体（微博/小红书等）→短视频平台（抖音/快手等）→网络游戏,很少,稍微修饰过的真实自己,经常,不太符合,比较符合,一般,比较符合,一般,(空)
156,2025/5/12 4:04:24,22秒,微信,,112.47.208.120(福建-泉州),男,19~21,高等教育阶段（大学-博士后）,61-120分钟（1-2小时）,短视频平台（抖音/快手等）→社交媒体（微博/小红书等）→网络游戏→即时通讯（微信/QQ等）,有时,稍微修饰过的真实自己,经常,一般,比较符合,不太符合,一般,比较符合,(空)
157,2025/5/12 8:55:41,78秒,微信,,223.104.54.196(福建-福州),女,19~21,高等教育阶段（大学-博士后）,241-360分钟（4-6小时）,影视娱乐（B站/腾讯视频等）→社交媒体（微博/小红书等）→即时通讯（微信/QQ等）→知识获取（作业帮/猿辅导等）→短视频平台（抖音/快手等）→网络游戏,有时,稍微修饰过的真实自己,有时,一般,不太符合,不太符合,不太符合,不太符合,(空)
158,2025/5/12 9:29:21,135秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,121-240分钟（3-4小时）,即时通讯（微信/QQ等）→短视频平台（抖音/快手等）→网络游戏→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）→影视娱乐（B站/腾讯视频等）,有时,稍微修饰过的真实自己,经常,比较符合,不太符合,比较符合,比较符合,比较符合,(空)
159,2025/5/12 9:30:25,57秒,微信,,223.104.54.196(福建-福州),男,16~18,高中阶段,61-120分钟（1-2小时）,影视娱乐（B站/腾讯视频等）→短视频平台（抖音/快手等）→即时通讯（微信/QQ等）→网络游戏→知识获取（作业帮/猿辅导等）→社交媒体（微博/小红书等）,很少,只展示某些方面的自己,有时,比较符合,不太符合,一般,一般,一般,(空)
